Rank,Company_Name,Revenue_$M,Revenue_change%,Profits_$M,Profits_change%,Assets_$M,Market_Value_$M,Employees
240,Murphy USA,15319,61.2,397,2.8,4048,4888.6,10430
241,Halliburton,15295,5.9,1457,0.0,22321,34028.9,40000
242,Automatic Data Processing,15005,2.8,2599,5.4,48773,95577.1,56000
243,Edison International,14905,9.8,759,2.7,74745,26693.8,13003
244,BorgWarner,14838,46.0,537,7.4,16575,9335.0,49300
245,Nordstrom,14789,38.0,178,0.0,8869,4321.3,72000
246,Loews,14657,16.5,1578,0.0,81626,15971.3,10340
247,Guardian Life Ins. Co. of America,14648,8.0,289,1128.5,90420,90100.0,9150
248,Pioneer Natural Resources,14643,119.0,2118,0.0,36811,60728.3,1932
249,AutoZone,14630,15.8,2170,25.2,14516,40582.6,85050
250,Lam Research,14626,45.6,3909,73.6,15892,74996.7,14100
251,American Family Insurance Group,14612,11.8,735,82.2,36316,12000.0,13590
252,Illinois Tool Works,14455,15.0,2694,27.7,16077,65311.9,45000
253,Parker-Hannifin,14348,4.8,1746,44.7,20341,36456.8,54640
254,Otis Worldwide,14298,12.1,1246,37.5,12279,32700.9,70000
255,Omnicom Group,14289,8.5,1408,48.9,28422,17565.7,71700
256,Principal Financial,14263,-3.2,1711,22.6,304657,19176.7,18600
257,Dominion Energy,14218,-11.8,3288,0.0,99590,68883.0,17100
258,Kellogg,14181,3.0,1488,18.9,18178,21890.2,31000
259,Fluor,14157,-10.9,-440,0.0,7280,4051.7,40582
260,AECOM,14112,-13.9,173,0.0,11734,10856.5,51000
261,Reliance Steel & Aluminum,14093,59.9,1413,282.8,9536,11313.5,13950
262,Jacobs Engineering Group,14093,3.8,477,-3.0,14633,17807.4,53500
263,Corning,14082,24.6,1906,272.3,30154,31212.8,61200
264,Farmers Insurance Exchange,14055,18.4,-367,0.0,21741,1000.0,11787
265,Qurate Retail,14044,-0.9,340,-71.8,16249,1807.4,26745
266,Pacific Life,13936,38.5,1102,0.0,209486,14124.0,3861
267,PulteGroup,13927,26.2,1946,38.3,13353,10115.7,6182
268,Fidelity National Information Services,13877,10.6,417,163.9,82931,61215.1,65000
269,IQVIA Holdings,13874,22.1,966,246.2,24689,44140.8,79000
270,Marriott International,13857,31.1,1099,0.0,25553,57514.9,120000
271,Berry Global Group,13850,18.3,733,31.1,17882,7832.4,47000
272,Ball,13811,17.2,878,50.1,19714,28909.1,24300
273,Group 1 Automotive,13802,27.2,552,92.7,5749,2859.9,13711
274,Leidos Holdings,13737,11.7,753,19.9,13261,14727.7,43000
275,Wayfair,13708,-3.1,-131,-170.8,4570,11641.6,16681
276,Consolidated Edison,13676,11.7,1346,22.3,63116,33525.3,13871
277,Ameriprise Financial,13443,12.4,2760,79.9,175979,33213.0,12000
278,Xcel Energy,13431,16.5,1597,8.4,57851,39275.9,11321
279,O'Reilly Automotive,13328,14.8,2165,23.5,11719,45410.4,76158
280,Global Partners,13248,59.2,61,-40.5,2831,927.1,2960
281,Discover Financial Services,13221,2.1,5449,377.6,110242,31076.7,16700
282,Rocket Companies,13176,-17.6,308,55.7,32775,21905.9,26000
283,LKQ,13089,12.6,1091,70.9,12606,12941.4,46000
284,W.W. Grainger,13022,10.4,1043,50.1,6592,26358.0,23450
285,Quanta Services,12980,15.9,486,9.1,12855,18779.5,43700
286,Crown Holdings,12979,12.1,-560,-196.7,13858,15460.6,26000
287,Fox,12909,4.9,2150,115.2,22926,21423.2,9000
288,Sempra,12857,7.7,1317,-66.5,72045,53087.6,15390
289,Markel,12846,32.0,2425,197.2,48449,20037.5,20300
290,Carvana,12814,129.4,-135,0.0,7015,19549.5,21000
291,XPO Logistics,12806,-21.2,336,205.5,8707,8356.9,44700
292,Baxter International,12784,9.5,1284,16.5,33521,39017.9,60000
293,Ecolab,12733,-0.1,1130,0.0,21206,50548.4,47000
294,Tractor Supply,12731,19.9,997,33.1,7768,26171.6,34000
295,Andersons,12729,55.1,104,1248.7,4569,1708.2,2334
296,Keurig Dr Pepper,12683,9.2,2146,62.0,50598,53748.2,27500
297,Universal Health Services,12642,9.4,992,5.0,13094,10843.1,78850
298,CSX,12522,18.3,3781,36.7,40531,81587.8,20919
299,Henry Schein,12401,22.6,631,56.3,8481,11960.1,21600
300,Sonic Automotive,12396,26.9,349,0.0,4975,1728.8,10200
301,eBay,12394,9.2,13608,140.1,26626,33641.9,10800
302,Textron,12382,6.3,746,141.4,15827,16090.6,33000
303,Jones Financial (Edward Jones),12373,21.7,1605,24.9,32208,39360.0,50000
304,Community Health Systems,12368,4.9,230,-55.0,15217,1598.6,58500
305,Mosaic,12357,42.3,1631,144.8,22036,24492.6,12525
306,Thor Industries,12317,50.8,660,195.9,6654,4330.9,31000
307,Dick's Sporting Goods,12293,28.3,1520,186.6,9042,7986.6,34300
308,Newmont,12222,6.3,1166,-58.8,40564,62968.1,14400
309,Devon Energy,12206,139.8,2813,0.0,21025,39274.1,1600
310,Warner Bros. Discovery,12191,14.2,1006,-17.5,34427,12700.5,11000
311,J.B. Hunt Transport Services,12168,26.3,761,50.3,6794,21052.9,33045
312,Alcoa,12152,30.9,429,0.0,15025,16603.4,12200
313,Peter Kiewit Sons',12149,-2.5,753,-8.8,6238,9510.0,28800
314,Aramark,12096,-5.7,-91,0.0,14376,9655.5,248300
315,Vistra,12077,5.5,-1274,-300.3,29683,10434.7,5060
316,State Street,12030,-0.4,2693,11.3,314624,31891.8,38784
317,Unum Group,12014,-8.7,824,3.9,70116,6382.8,10200
318,Alleghany,12004,34.9,1035,917.1,32269,11396.1,13313
319,Boston Scientific,11888,19.9,1041,0.0,32229,63310.2,41000
320,Westlake,11778,57.0,2015,510.6,18459,15785.4,14550
321,Entergy,11743,16.1,1119,-19.4,59454,23760.4,12369
322,International Flavors & Fragrances,11656,129.3,270,-25.7,39658,33455.6,24000
323,DaVita,11619,0.6,979,26.5,17122,10892.5,69000
324,Mutual of Omaha Insurance,11459,3.3,579,-17.1,49853,47300.0,5739
325,Assurant,11410,13.0,1372,210.6,33912,10493.1,15600
326,Liberty Media,11400,21.8,398,0.0,44351,15239.1,6886
327,Hormel Foods,11386,18.5,909,0.1,12696,28089.2,20000
328,Icahn Enterprises,11328,85.0,-518,0.0,27746,15237.1,19536
329,Republic Services,11295,11.2,1290,33.4,24955,41841.7,35000
330,Mohawk Industries,11201,17.3,1033,100.4,14225,8081.8,43000
331,Conagra Brands,11185,1.2,1299,54.6,22196,16103.5,18600
332,Norfolk Southern,11142,13.8,3005,49.3,38493,68389.3,18100
333,AES,11141,15.3,-409,-989.1,32963,17172.1,8450
334,AGCO,11138,21.7,897,110.0,9182,10885.3,23300
335,Caesars Entertainment,11110,219.8,-1019,0.0,38031,16564.6,49000
336,Equitable Holdings,11036,-11.1,-439,0.0,292262,12041.2,10000
337,Advance Auto Parts,10998,8.8,616,25.0,12194,12644.8,54500
338,Biogen,10982,-18.3,1556,-61.1,23877,30950.4,9610
339,Auto-Owners Insurance,10980,24.0,1318,59.0,32487,817000.0,6441
340,Booking Holdings,10958,61.2,1165,1874.6,23641,96022.7,20199
341,Amphenol,10876,26.5,1591,32.2,14678,45130.1,90000
342,Quest Diagnostics,10788,14.3,1995,39.4,13611,16348.6,44500
343,FirstEnergy,10758,3.1,1283,18.9,45432,26181.6,12395
344,DCP Midstream,10707,69.9,391,0.0,13380,6993.2,1788
345,Ally Financial,10690,-0.8,3060,182.0,182114,14411.6,10500
346,Delek US Holdings,10648,45.8,-204,0.0,6728,1500.2,3312
347,Williams,10627,37.7,1517,619.0,47612,40670.4,4783
348,Newell Brands,10589,12.8,572,0.0,14179,8902.4,32000
349,Eastman Chemical,10476,23.6,857,79.3,15519,14450.1,14000
350,Air Products & Chemicals,10323,16.6,2099,11.3,26859,55409.4,20750
351,Thrivent Financial for Lutherans,10313,26.5,2530,297.2,116525,13695.0,3256
352,Molson Coors Beverage,10280,6.5,1006,0.0,27619,11631.8,16300
353,Interpublic Group,10241,13.0,953,171.4,19909,13965.9,55600
354,Weyerhaeuser,10201,35.4,2607,227.1,17652,28315.0,9214
355,Altice USA,10091,2.0,990,127.0,33215,5674.1,9000
356,Raymond James Financial,9910,21.3,1403,71.5,61891,22817.5,15000
357,EMCOR Group,9904,12.6,384,188.5,5441,5931.8,34000
358,Eversource Energy,9863,10.8,1221,1.3,48492,30403.2,9227
